City,Guest Satisfaction,average_distance_metro
Amsterdam,47.0,0.4176824191237845
Amsterdam,60.0,0.4787109219749678
Amsterdam,70.0,0.7287167517392943
Amsterdam,74.0,0.8435705630862228
Amsterdam,75.0,0.9038506030874354
Amsterdam,77.0,0.4468093520238611
Amsterdam,78.0,0.4073829574638763
Amsterdam,80.0,0.668716889872645
Amsterdam,81.0,0.1868052977296511
Amsterdam,82.0,0.5023428883638493
Amsterdam,83.0,0.967067000569305
Amsterdam,84.0,0.5817972818021742
Amsterdam,85.0,0.6641381088229611
Amsterdam,86.0,0.6796207230299905
Amsterdam,87.0,0.701825261436197
Amsterdam,88.0,0.7822678104444011
Amsterdam,89.0,0.666212374875146
Amsterdam,90.0,0.6359264193270417
Amsterdam,91.0,0.6995843895489376
Amsterdam,92.0,0.7335231251250872
Amsterdam,93.0,0.6482049530804765
Amsterdam,94.0,0.6937046970556505
Amsterdam,95.0,0.7320587139387913
Amsterdam,96.0,0.6962420886059671
Amsterdam,97.0,0.7127447868935288
Amsterdam,98.0,0.7414811736528941
Amsterdam,99.0,0.6786923623673484
Amsterdam,100.0,0.7251194757368273
Athens,20.0,0.5925205686821646
Athens,40.0,0.4383194250292857
Athens,47.0,0.3264780367576139
Athens,50.0,0.4982244725939317
Athens,53.0,0.3127326115049619
Athens,56.0,0.5911633670748117
Athens,57.0,0.1108524071280292
Athens,60.0,0.5402533509957349
Athens,67.0,0.5108916048059704
Athens,68.0,1.0416100028604245
Athens,70.0,0.4059195994810659
Athens,72.0,0.3221846790960539
Athens,73.0,0.5928235857100502
Athens,75.0,0.4578962053970783
Athens,76.0,0.24290067283145764
Athens,77.0,0.46841089792014834
Athens,78.0,0.30586443771148364
Athens,79.0,0.44314703580280157
Athens,80.0,0.45823556467328996
Athens,81.0,0.24669552954530896
Athens,82.0,0.44043768846459
Athens,83.0,0.5189529427223949
Athens,84.0,0.4715733075273949
Athens,85.0,0.4545141444491576
Athens,86.0,0.4125492889310536
Athens,87.0,0.5039286565781861
Athens,88.0,0.4754090366428133
Athens,89.0,0.43196829303266243
Athens,90.0,0.4817811812119925
Athens,91.0,0.42162218054433964
Athens,92.0,0.4697752264022815
Athens,93.0,0.4608602609487082
Athens,94.0,0.45108995460637663
Athens,95.0,0.4643327515351098
Athens,96.0,0.45506716691698046
Athens,97.0,0.45596621397924747
